Materias_inscritas;Promedio_estudiantil;Situacion_economica;Situacion_familiar;Horas_estudio_por_semana;Edad;Desercion
1;99;media;inestable;22;18;0
4;62;baja;inestable;14;27;1
3;95;media;inestable;28;23;0
4;56;baja;estable;33;24;0
1;71;baja;estable;14;19;0
3;60;media;estable;3;19;0
3;2;alta;estable;12;22;0
2;3;media;estable;5;26;1
4;88;alta;estable;19;22;0
4;48;baja;estable;6;25;1
2;90;alta;estable;19;25;0
5;15;media;estable;9;22;0
1;22;alta;estable;30;25;0
4;25;baja;inestable;1;25;1
2;78;baja;estable;22;22;1
7;25;alta;inestable;7;22;0
3;24;baja;inestable;0;21;1
6;41;baja;estable;35;18;0
7;74;alta;estable;27;26;0
2;76;baja;inestable;4;19;1
6;43;alta;estable;27;18;0
5;0;alta;estable;24;23;0
1;35;baja;inestable;19;22;0
6;94;alta;estable;17;28;0
5;21;baja;estable;35;18;0
6;99;baja;inestable;10;24;0
3;4;baja;inestable;16;24;0
3;18;media;inestable;13;20;0
3;94;baja;estable;20;25;0
3;86;alta;inestable;37;23;0
2;60;alta;estable;34;21;0
3;85;alta;estable;32;27;0
7;56;media;estable;39;27;0
3;94;media;inestable;28;27;0
7;20;alta;estable;20;29;1
2;66;alta;estable;39;20;0
3;52;media;inestable;0;18;0
5;59;alta;inestable;25;19;1
5;60;baja;estable;30;19;0
4;74;baja;inestable;37;28;1
5;11;alta;estable;35;22;0
1;41;baja;estable;34;21;0
1;88;alta;estable;38;19;0
1;47;media;inestable;21;28;0
2;84;alta;inestable;0;26;1
5;70;media;estable;0;24;1
7;94;baja;estable;22;25;0
1;74;baja;estable;17;25;1
4;64;baja;estable;18;19;0
2;77;alta;inestable;16;22;0
4;46;media;inestable;37;20;0
5;22;media;inestable;14;27;1
3;99;baja;inestable;34;26;0
4;42;baja;inestable;36;26;0
3;68;media;estable;20;23;0
2;39;alta;inestable;18;21;0
4;55;baja;estable;30;25;0
4;68;alta;estable;28;22;0
6;65;baja;inestable;13;20;0
2;37;baja;inestable;4;28;1
2;69;alta;estable;11;25;0
1;80;alta;estable;5;29;0
5;4;alta;estable;12;23;1
4;77;alta;inestable;10;22;0
4;99;media;inestable;26;18;0
7;59;media;inestable;38;20;0
2;46;baja;inestable;27;24;0
2;91;baja;estable;20;20;0
5;75;baja;inestable;31;18;1
2;96;media;estable;29;25;0
3;39;alta;inestable;17;24;0
3;23;baja;inestable;13;22;1
6;17;media;inestable;34;29;1
3;74;baja;estable;36;27;1
3;88;media;estable;18;22;1
5;82;alta;inestable;0;23;1
4;67;media;estable;20;24;0
3;61;alta;estable;11;20;1
6;6;baja;inestable;0;28;1
2;81;alta;inestable;32;29;0
3;14;media;estable;21;29;0
6;78;baja;inestable;27;21;0
5;65;baja;estable;37;18;1
7;35;media;estable;22;24;0
7;58;alta;inestable;20;27;1
7;70;media;estable;12;19;0
2;28;alta;inestable;20;24;1
6;24;alta;estable;32;23;0
3;54;baja;estable;18;21;0
4;20;alta;estable;20;28;0
2;48;baja;estable;4;19;0
2;11;media;estable;19;24;0
7;7;media;estable;20;24;0
4;84;baja;inestable;26;22;1
7;40;baja;estable;19;26;1
2;23;alta;estable;6;20;0
3;35;baja;estable;20;26;1
7;1;media;inestable;36;22;0
7;28;baja;estable;6;19;1
7;12;baja;estable;28;26;0
2;88;baja;estable;24;18;0
3;6;alta;inestable;20;18;0
4;39;baja;inestable;6;24;1
1;99;alta;inestable;38;20;0
4;58;alta;estable;25;25;0
3;57;baja;estable;20;24;0
5;99;alta;estable;10;28;0
7;10;baja;inestable;30;24;1
4;28;media;estable;31;18;0
5;16;media;inestable;16;18;1
5;12;alta;inestable;15;29;1
3;8;media;estable;26;19;0
3;93;baja;estable;4;19;1
7;41;alta;inestable;20;28;0
1;8;baja;estable;2;22;1
6;20;alta;inestable;8;26;1
2;77;alta;inestable;27;24;0
4;26;alta;estable;20;19;0
3;54;alta;estable;39;22;0
4;34;media;estable;35;22;0
6;90;media;estable;25;25;0
6;39;media;estable;33;26;0
7;88;alta;estable;36;25;0
5;11;media;estable;10;19;0
7;71;alta;inestable;34;21;0
2;28;media;estable;8;19;0
1;4;alta;estable;17;23;0
4;59;media;estable;22;21;0
2;18;media;estable;29;24;0
1;34;media;inestable;1;19;1
4;45;alta;estable;12;26;0
2;45;alta;inestable;24;22;0
3;44;media;inestable;14;18;0
4;38;alta;inestable;31;29;0
2;40;baja;inestable;26;28;1
6;88;media;inestable;9;20;0
1;17;media;estable;6;21;1
2;58;baja;inestable;20;20;1
3;86;alta;inestable;18;23;0
7;29;alta;estable;7;23;1
4;64;alta;inestable;13;27;0
4;89;media;estable;12;28;0
4;83;media;estable;4;24;1
3;40;media;estable;22;26;0
1;84;media;estable;20;27;0
4;54;media;inestable;23;26;0
1;58;alta;inestable;33;24;0
2;44;baja;inestable;5;28;0
6;83;alta;estable;17;18;1
6;66;alta;estable;24;20;0
1;16;media;estable;27;22;0
1;90;baja;inestable;28;27;0
6;81;baja;estable;29;29;0
4;73;alta;inestable;26;28;0
5;19;baja;inestable;4;23;1
5;22;alta;estable;28;23;0
3;63;alta;estable;29;22;0
7;7;alta;estable;40;23;0
6;100;alta;estable;20;26;0
6;64;media;estable;27;18;0
3;59;baja;inestable;21;18;0
5;6;media;inestable;35;26;0
2;3;media;estable;40;25;0
4;27;media;estable;31;26;0
4;18;alta;estable;25;24;0
2;5;alta;inestable;3;27;1
2;25;media;inestable;29;23;0
5;39;media;inestable;28;26;1
3;100;baja;inestable;31;19;0
2;18;media;estable;5;21;1
3;80;alta;inestable;26;19;0
7;92;media;inestable;12;23;1
1;20;baja;estable;30;18;0
4;4;baja;estable;10;24;1
5;16;media;inestable;27;24;1
4;37;baja;estable;12;24;1
5;61;baja;estable;0;21;1
1;39;alta;estable;25;25;0
4;6;baja;inestable;5;22;0
1;26;baja;inestable;26;19;0
5;30;media;estable;37;22;0
2;97;alta;estable;39;29;0
7;61;baja;inestable;9;27;1
4;25;media;inestable;32;26;0
1;69;media;estable;14;27;0
6;30;media;estable;36;18;1
4;11;media;inestable;31;28;0
4;14;media;estable;3;19;1
4;57;media;inestable;16;27;1
3;0;baja;estable;20;25;1
1;61;alta;inestable;31;22;0
1;58;alta;estable;16;29;0
4;89;media;inestable;27;26;0
2;36;media;estable;24;23;0
4;5;alta;estable;39;25;0
3;23;baja;estable;38;29;0
5;46;media;estable;20;18;0
3;63;alta;inestable;29;26;1
2;35;alta;estable;20;26;1
4;82;media;inestable;36;20;0
1;55;alta;inestable;3;18;0
7;81;baja;estable;12;25;0
6;79;alta;inestable;13;25;1
4;16;media;estable;17;29;0
2;10;media;inestable;7;26;0
1;3;alta;estable;20;23;1
3;79;alta;estable;27;26;0
5;8;media;inestable;20;29;0
5;86;baja;inestable;27;27;1
7;73;alta;estable;3;26;0
4;89;baja;inestable;35;29;0
3;99;baja;estable;38;21;0
7;38;media;estable;25;28;0
6;66;media;inestable;35;22;0
6;83;media;estable;5;23;1
7;80;baja;inestable;32;23;0
2;46;media;estable;5;27;0
5;27;media;estable;16;19;1
3;0;baja;estable;13;21;1
4;35;baja;inestable;20;29;0
1;88;baja;estable;12;26;0
4;96;baja;estable;25;24;0
4;49;alta;inestable;15;26;0
3;84;media;estable;34;23;0
5;93;alta;inestable;25;28;0
3;76;baja;inestable;9;24;1
1;38;baja;inestable;13;26;0
7;49;baja;estable;34;29;0
3;22;baja;inestable;15;21;0
2;52;baja;estable;21;26;0
4;5;media;inestable;26;20;0
5;82;alta;estable;20;29;1
6;9;alta;inestable;12;28;0
1;15;media;inestable;19;29;0
6;76;media;inestable;9;25;1
4;21;media;estable;11;20;1
3;65;alta;inestable;2;20;0
6;41;alta;estable;12;20;0
2;89;baja;estable;13;26;1
3;4;alta;estable;38;27;0
4;93;alta;estable;20;20;0
6;36;media;estable;31;23;0
7;85;alta;estable;2;28;1
1;50;baja;inestable;4;21;1
6;81;alta;inestable;33;19;0
7;92;media;estable;25;29;1
7;18;media;estable;8;29;1
6;3;baja;inestable;16;20;0
5;71;baja;inestable;22;22;0
6;26;alta;estable;34;27;0
4;54;baja;inestable;2;21;1
7;92;baja;estable;24;22;1
1;96;media;inestable;29;29;0
4;6;media;inestable;39;28;0
2;60;alta;inestable;32;18;0
3;98;alta;inestable;11;21;0
6;67;alta;inestable;28;28;0
5;25;alta;estable;31;27;1
1;58;media;estable;29;20;0
5;76;alta;inestable;33;19;0
5;74;alta;estable;36;24;0
5;38;baja;estable;4;27;0
6;33;alta;inestable;4;26;0
1;24;baja;estable;32;18;1
1;84;media;estable;10;29;0
7;35;alta;inestable;2;24;1
5;65;baja;estable;16;28;0
7;88;alta;inestable;33;29;0
7;95;baja;inestable;5;18;0
3;64;alta;estable;27;22;0
6;96;media;inestable;0;18;0
6;5;media;estable;4;20;1
4;12;baja;estable;14;25;1
7;16;baja;inestable;3;21;1
6;79;media;estable;34;29;0
5;37;alta;estable;35;18;0
2;85;baja;estable;20;18;0
5;42;media;estable;10;25;1
1;40;baja;estable;21;25;1
6;70;media;estable;7;21;0
6;1;media;estable;11;21;0
4;0;baja;inestable;21;27;0
7;18;baja;estable;29;28;1
2;15;media;inestable;4;19;1
6;33;alta;inestable;12;19;0
4;92;media;estable;37;29;1
4;71;alta;inestable;17;23;1
2;89;alta;inestable;38;25;0
5;10;alta;inestable;40;24;0
5;73;baja;estable;21;24;0
5;67;media;inestable;12;20;0
3;50;media;inestable;20;29;0
7;97;alta;inestable;6;19;0
7;48;alta;inestable;20;27;0
5;22;alta;inestable;31;24;0
2;1;media;inestable;17;21;0
3;96;alta;estable;8;18;0
7;31;media;inestable;26;18;1
5;53;media;inestable;29;21;0
3;19;baja;estable;5;22;1
2;76;alta;estable;11;22;0
5;66;alta;inestable;9;18;0
1;92;alta;inestable;15;20;0
6;17;baja;estable;31;23;0
2;69;alta;inestable;29;27;0
4;13;media;inestable;27;24;0
4;67;alta;estable;0;28;0
2;89;media;inestable;6;18;1
4;75;media;estable;20;25;1
7;60;media;inestable;11;21;0
2;37;media;inestable;6;26;0
1;57;alta;estable;20;28;0
2;91;baja;estable;3;28;0
5;40;baja;inestable;30;23;1
5;5;media;inestable;32;18;0
3;3;alta;inestable;23;19;0
4;71;baja;estable;4;20;0
6;43;alta;estable;36;19;0
4;94;baja;estable;39;27;0
7;95;media;estable;8;24;1
2;3;media;estable;28;29;0
6;27;media;estable;34;18;0
6;6;baja;inestable;22;26;0
4;8;alta;estable;13;19;0
6;66;media;estable;19;21;0
6;52;alta;estable;20;25;0
5;96;alta;estable;20;28;0
1;19;media;inestable;37;20;0
2;18;baja;estable;30;26;0
4;15;media;inestable;10;24;1
5;2;media;estable;23;27;0
7;5;baja;inestable;28;29;1
7;92;alta;estable;6;29;1
3;53;baja;estable;14;20;1
6;97;baja;estable;20;20;0
6;77;media;estable;23;22;0
4;25;baja;inestable;9;22;0
1;33;baja;inestable;5;27;1
1;8;baja;estable;21;22;1
4;54;alta;estable;22;29;0
4;32;alta;inestable;20;26;0
5;59;media;inestable;25;26;0
7;18;media;inestable;20;23;0
4;72;alta;estable;6;28;0
7;38;baja;inestable;20;28;1
3;5;media;estable;2;24;1
7;22;media;estable;35;27;0
5;56;baja;inestable;6;25;1
6;8;baja;estable;27;26;1
6;89;baja;estable;16;23;0
7;9;baja;inestable;16;25;1
6;69;baja;estable;31;19;0
6;13;alta;inestable;20;27;0
2;16;baja;inestable;29;25;0
3;67;media;inestable;20;28;1
5;77;alta;estable;24;19;0
5;23;media;inestable;20;25;0
6;12;baja;inestable;24;19;1
1;58;media;estable;25;20;0
5;100;baja;estable;32;24;0
3;64;media;inestable;38;28;0
4;37;media;estable;15;26;0
3;96;baja;estable;23;20;0
6;16;media;estable;3;22;1
6;13;alta;estable;14;26;0
2;80;media;estable;16;24;0
7;45;alta;inestable;33;19;0
5;15;alta;inestable;21;22;0
7;70;media;inestable;29;22;0
7;46;alta;estable;1;26;0
5;75;alta;estable;19;19;1
5;22;media;inestable;36;18;0
6;5;baja;inestable;9;21;0
5;37;baja;inestable;1;21;1
1;29;alta;estable;17;18;0
1;21;alta;inestable;20;27;0
4;0;baja;estable;20;24;0
5;66;alta;inestable;18;19;1
2;39;baja;inestable;27;28;1
4;0;media;estable;10;26;1
6;100;alta;estable;30;24;0
5;99;media;inestable;6;29;0
1;96;baja;inestable;16;29;0
2;47;baja;inestable;26;24;0
4;38;media;estable;33;18;0
2;43;alta;estable;32;26;1
5;48;media;inestable;29;27;0
3;60;media;inestable;14;26;1
2;74;alta;inestable;5;19;1
2;53;baja;estable;9;27;1
6;95;media;inestable;35;26;0
1;18;media;inestable;34;19;0
5;20;baja;estable;38;19;0
2;74;media;inestable;3;25;0
5;85;baja;inestable;20;20;0
1;18;alta;estable;26;20;0
6;27;baja;estable;28;24;1
5;95;baja;inestable;26;27;1
7;89;media;estable;31;23;0
1;18;baja;estable;14;24;1
1;14;baja;estable;7;23;1
4;4;media;estable;8;26;1
6;11;baja;estable;0;19;1
6;22;media;estable;14;25;1
7;48;alta;estable;4;28;0
5;80;baja;inestable;13;23;1
3;10;alta;estable;25;21;1
7;94;baja;estable;36;23;1
4;40;baja;estable;34;23;0
6;57;alta;estable;10;29;0
1;71;alta;inestable;5;27;0
6;39;media;inestable;8;20;1
7;21;media;estable;39;25;0
3;95;alta;inestable;22;22;0
2;9;baja;inestable;7;28;0
2;38;media;inestable;34;27;0
6;50;baja;inestable;20;28;0
6;44;media;inestable;36;21;0
4;69;media;estable;10;19;1
6;98;media;estable;16;27;0
3;74;alta;estable;20;18;0
6;17;baja;inestable;36;24;0
5;96;alta;estable;35;27;0
7;40;media;inestable;23;28;0
3;76;alta;estable;9;20;0
4;68;alta;estable;16;20;0
5;52;alta;estable;39;20;0
5;63;baja;estable;24;27;1
7;99;alta;inestable;31;29;0
2;45;alta;estable;18;20;0
3;24;alta;estable;21;19;1
7;67;alta;inestable;17;23;0
5;46;alta;inestable;28;27;0
4;28;alta;estable;20;20;0
7;23;alta;estable;20;18;0
2;84;media;inestable;19;27;1
5;57;alta;inestable;20;26;0
7;74;alta;estable;7;23;0
3;26;baja;inestable;38;23;0
2;47;media;inestable;13;27;0
3;100;alta;estable;20;26;0
3;40;baja;estable;29;19;0
3;73;alta;estable;32;27;0
7;10;alta;inestable;37;26;0
2;42;alta;estable;25;29;0
7;72;alta;estable;36;20;0
7;2;alta;estable;7;20;0
7;48;baja;inestable;25;20;0
5;48;alta;estable;31;18;0
6;43;baja;estable;11;27;1
1;5;alta;inestable;20;24;0
5;47;baja;inestable;31;27;1
2;88;media;estable;33;24;0
1;70;alta;estable;13;19;0
1;26;media;estable;27;23;0
1;49;media;inestable;20;21;0
6;85;media;estable;30;28;0
7;82;alta;estable;19;24;0
4;93;media;inestable;20;24;0
2;85;baja;inestable;17;21;0
6;22;alta;estable;6;20;0
6;75;media;inestable;7;24;0
4;65;alta;estable;3;26;0
1;28;media;estable;25;21;0
7;92;baja;inestable;34;23;0
4;13;alta;inestable;1;24;0
4;72;alta;inestable;3;27;1
6;89;media;inestable;18;20;0
2;28;baja;estable;30;22;0
3;4;alta;inestable;6;29;0
7;85;media;inestable;11;18;0
4;58;baja;estable;9;23;1
7;92;baja;estable;16;22;0
4;76;baja;estable;9;24;1
1;17;baja;inestable;20;26;0
7;70;alta;estable;29;28;0
1;76;alta;inestable;24;21;0
6;60;baja;inestable;3;26;1
1;47;media;inestable;20;23;0
7;99;media;inestable;19;22;0
5;84;baja;estable;37;19;0
7;91;baja;estable;12;18;0
4;43;media;estable;29;25;0
1;37;baja;estable;29;29;1
2;2;baja;estable;9;29;1
5;27;alta;inestable;36;23;0
6;53;alta;inestable;20;24;0
3;44;baja;inestable;27;23;0
4;85;baja;inestable;6;27;1
4;42;alta;estable;10;24;1
2;32;baja;inestable;23;26;0
3;12;alta;inestable;13;22;0
3;40;alta;inestable;20;18;0
6;56;media;inestable;15;18;0
6;100;alta;inestable;26;26;0
5;4;media;inestable;19;22;0
4;99;media;estable;0;28;0
1;7;alta;estable;26;19;0
6;65;baja;inestable;17;20;1
2;43;alta;inestable;14;18;0
2;42;media;inestable;4;23;0
2;80;alta;inestable;9;29;1
7;3;alta;inestable;9;23;0
6;18;media;estable;37;20;0
6;33;alta;estable;17;20;0
2;61;alta;inestable;2;24;1
6;80;media;estable;6;18;1
7;88;baja;inestable;3;22;1
1;4;media;inestable;24;20;0
1;80;media;estable;7;22;0
5;10;alta;estable;20;28;0
4;57;media;estable;15;21;0
1;15;alta;estable;32;23;0
5;79;alta;inestable;13;29;0
3;69;alta;estable;18;26;0
4;81;media;estable;29;19;1
1;2;media;estable;17;27;0
7;17;alta;inestable;20;25;0
3;6;baja;inestable;26;19;1
5;74;baja;inestable;20;21;1
1;46;media;estable;20;26;0
1;14;alta;estable;39;21;0
6;100;alta;estable;26;24;0
3;61;media;inestable;36;28;0
1;77;baja;estable;7;22;0
2;22;media;estable;20;19;0
7;35;media;inestable;36;25;1
6;16;alta;estable;13;28;0
6;21;media;estable;39;27;0
1;23;baja;estable;4;27;0
7;26;media;estable;36;19;0
6;16;alta;inestable;18;20;0
4;22;baja;inestable;3;27;1
3;70;alta;inestable;35;24;0
4;0;media;estable;10;22;0
5;49;media;estable;1;27;1
4;62;media;inestable;5;28;1
7;49;alta;estable;26;20;1
2;90;media;inestable;39;29;0
6;97;baja;inestable;4;19;0
7;36;baja;estable;18;28;0
6;14;alta;inestable;7;23;1
2;55;alta;inestable;30;27;0
6;81;alta;inestable;5;18;0
4;55;media;inestable;10;25;0
5;67;baja;inestable;8;22;0
1;28;baja;inestable;22;22;0
2;86;baja;estable;35;19;0
4;42;alta;inestable;20;24;0
7;85;alta;inestable;2;22;0
4;19;media;estable;23;25;1
4;85;alta;estable;32;22;0
1;11;baja;inestable;5;26;0
3;98;media;estable;3;22;0
6;89;alta;estable;8;20;1
6;13;alta;inestable;30;19;0
7;60;baja;estable;24;22;0
5;83;media;inestable;22;27;1
7;99;alta;inestable;10;27;0
3;75;alta;inestable;13;22;1
6;60;media;inestable;39;23;0
5;8;media;estable;10;19;0
7;96;alta;inestable;36;22;0
5;87;alta;estable;23;18;0
4;72;baja;estable;5;20;0
2;23;media;inestable;19;20;0
4;93;alta;inestable;38;20;0
1;68;alta;estable;17;20;0
6;7;alta;inestable;35;25;1
5;78;alta;inestable;10;18;0
7;44;baja;inestable;23;23;0
2;52;media;estable;34;23;0
7;19;alta;estable;37;18;0
6;57;media;estable;19;18;0
5;78;media;estable;20;20;0
5;85;alta;inestable;0;25;0
4;95;alta;inestable;10;23;1
2;69;alta;estable;11;21;1
2;32;baja;estable;4;22;1
6;60;alta;estable;11;27;1
5;10;media;estable;13;20;1
2;91;media;estable;39;28;0
2;2;baja;inestable;27;28;0
7;48;alta;estable;17;23;0
6;56;alta;estable;20;23;0
4;66;baja;inestable;6;23;0
7;28;baja;inestable;19;26;1
7;10;alta;inestable;26;27;1
3;100;alta;estable;2;28;0
1;54;media;inestable;29;25;0
3;95;alta;estable;4;23;1
2;49;alta;estable;6;19;1
5;14;media;inestable;6;21;1
1;3;media;estable;37;23;0
1;31;media;estable;27;26;0
5;51;media;inestable;26;28;0
1;61;baja;inestable;22;19;1
5;97;media;inestable;12;23;0
1;73;baja;inestable;25;27;1
7;93;media;inestable;16;28;0
6;40;media;inestable;20;27;0
6;81;media;inestable;28;27;1
3;16;alta;inestable;5;24;1
7;4;baja;inestable;8;25;0
1;71;media;inestable;33;26;0
4;68;alta;estable;26;22;0
5;80;baja;estable;25;26;1
7;38;baja;estable;17;26;1
1;90;alta;inestable;16;28;0
6;31;baja;estable;28;24;0
6;6;alta;estable;30;19;0
5;85;media;estable;20;25;0
4;75;alta;estable;39;29;0
1;49;baja;estable;38;22;0
1;87;baja;inestable;16;28;1
4;48;media;inestable;33;25;0
4;42;alta;inestable;22;19;0
4;16;media;estable;20;24;0
6;70;alta;estable;2;22;1
5;80;alta;inestable;23;21;0
7;19;alta;inestable;36;27;0
4;90;media;inestable;31;23;0
5;44;media;estable;31;22;0
3;73;baja;inestable;20;23;1
1;69;media;inestable;14;26;1
1;47;alta;inestable;9;18;0
2;31;alta;inestable;20;28;0
3;7;alta;inestable;23;18;0
7;43;media;estable;15;23;0
4;61;baja;estable;22;19;0
4;82;media;inestable;18;25;1
7;82;baja;estable;11;24;0
6;21;media;inestable;4;23;0
3;34;alta;inestable;36;21;1
4;27;baja;estable;0;26;1
2;32;media;estable;0;24;0
5;5;alta;estable;33;24;0
1;11;baja;estable;40;22;0
3;96;baja;inestable;29;18;0
1;49;alta;estable;1;19;1
5;97;alta;inestable;20;25;0
3;60;media;inestable;39;28;0
5;49;media;inestable;32;22;0
4;75;alta;inestable;20;19;0
7;36;media;inestable;9;29;1
4;99;alta;estable;1;22;0
7;66;alta;inestable;1;25;1
4;99;media;estable;24;21;0
5;60;media;inestable;1;20;0
5;91;baja;estable;40;22;0
5;10;baja;estable;7;24;0
1;79;media;inestable;28;19;0
5;53;media;inestable;6;18;1
4;66;media;estable;22;28;1
2;85;baja;inestable;3;22;1
5;57;media;inestable;31;24;1
2;48;baja;estable;23;25;0
7;78;baja;estable;3;28;0
4;98;baja;inestable;34;25;0
5;83;baja;inestable;20;27;0
1;42;alta;inestable;37;26;0
1;67;media;inestable;20;28;0
7;92;media;estable;20;28;0
2;83;alta;estable;3;29;1
6;28;media;inestable;5;18;1
1;13;baja;estable;40;24;0
1;0;alta;estable;20;27;0
1;17;baja;estable;10;25;1
4;80;alta;estable;31;23;0
1;14;baja;estable;11;27;0
3;88;media;estable;29;29;0
5;12;media;estable;33;21;0
7;96;media;inestable;31;24;0
1;23;alta;inestable;11;20;0
6;33;media;estable;16;19;1
6;10;alta;estable;17;23;1
1;100;baja;estable;20;19;0
1;61;media;estable;7;23;0
3;46;baja;estable;18;27;0
1;24;media;inestable;20;20;0
1;31;baja;estable;21;19;0
5;64;alta;inestable;33;25;0
6;28;media;inestable;21;21;0
3;40;alta;estable;9;29;0
6;74;alta;estable;27;21;0
3;21;baja;estable;32;24;0
6;75;media;inestable;13;25;0
1;0;alta;inestable;26;29;0
6;15;baja;inestable;20;26;0
6;15;baja;estable;14;27;0
3;2;baja;estable;36;25;0
7;100;media;estable;36;21;0
2;99;media;estable;23;19;0
3;93;baja;estable;20;27;0
3;2;media;estable;34;22;0
3;98;baja;inestable;38;24;0
4;51;media;inestable;20;19;0
7;30;media;estable;22;21;0
4;34;baja;estable;17;23;1
4;49;baja;inestable;3;25;0
3;75;media;inestable;20;27;1
2;93;baja;inestable;32;23;0
3;88;baja;estable;32;23;0
1;22;baja;inestable;36;23;0
2;80;baja;inestable;2;21;0
4;64;media;inestable;21;20;1
6;80;alta;inestable;4;18;1
6;58;media;inestable;8;19;0
7;34;baja;estable;36;19;0
5;62;baja;estable;20;27;0
7;17;media;inestable;30;24;0
2;9;baja;estable;3;28;0
4;46;media;estable;17;23;1
2;32;alta;inestable;27;25;1
2;5;baja;estable;5;26;1
6;20;alta;estable;13;22;0
3;46;alta;inestable;3;28;0
1;29;baja;inestable;26;20;0
5;89;baja;estable;39;21;0
4;70;media;estable;33;28;0
2;20;media;estable;39;25;0
5;44;baja;inestable;34;20;0
2;96;media;estable;20;19;0
6;49;alta;estable;23;24;1
1;2;alta;inestable;21;21;1
6;75;baja;estable;16;25;0
5;32;media;inestable;33;18;0
4;87;baja;estable;20;25;0
2;70;alta;inestable;2;22;1
1;57;baja;estable;38;29;0
6;71;baja;estable;20;19;1
5;46;baja;inestable;39;18;0
6;36;baja;inestable;29;23;0
2;53;alta;inestable;20;26;1
2;34;baja;inestable;28;26;1
4;62;baja;inestable;33;26;0
1;6;media;inestable;10;28;1
3;3;baja;inestable;31;21;0
6;33;media;estable;32;23;0
2;38;baja;estable;10;29;0
5;85;media;estable;2;27;0
6;32;baja;estable;20;23;0
4;74;media;estable;8;22;0
4;8;baja;estable;3;19;1
2;14;baja;estable;29;24;0
2;91;media;inestable;15;18;0
2;29;baja;estable;35;23;1
7;43;baja;inestable;10;22;0
3;22;baja;estable;18;22;1
2;67;baja;inestable;26;25;0
6;77;alta;estable;20;26;0
6;82;baja;estable;21;24;0
7;87;alta;estable;15;27;0
7;56;alta;estable;35;25;0
1;44;baja;inestable;12;19;0
5;99;media;estable;3;19;0
2;70;media;inestable;20;29;0
6;17;baja;estable;31;25;0
7;44;alta;estable;1;23;1
6;48;media;estable;23;25;0
6;14;baja;estable;24;26;0
7;46;baja;inestable;37;26;1
3;4;alta;inestable;11;28;0
7;99;media;inestable;11;23;0
7;61;baja;estable;18;25;0
5;83;media;estable;14;19;1
7;6;baja;estable;29;25;0
4;73;baja;estable;20;20;0
7;64;baja;inestable;30;18;0
6;97;alta;inestable;33;24;0
2;86;alta;inestable;20;18;0
6;93;alta;estable;17;28;1
5;39;media;inestable;39;18;0
4;82;alta;estable;9;18;1
7;56;alta;inestable;20;21;0
3;32;media;inestable;21;29;0
1;97;media;inestable;20;29;0
7;79;media;inestable;19;21;1
2;33;media;estable;20;27;0
1;29;alta;estable;20;28;0
3;23;alta;inestable;29;23;1
5;95;media;inestable;31;29;0
5;35;alta;estable;3;27;0
3;15;baja;inestable;8;29;0
6;82;alta;inestable;39;20;0
3;57;baja;inestable;28;27;0
7;2;media;estable;22;23;0
2;80;media;estable;15;24;1
4;30;alta;inestable;2;28;1
7;2;media;inestable;15;18;0
7;11;alta;estable;20;23;0
7;37;alta;estable;20;27;0
1;45;alta;estable;7;18;0
1;93;alta;estable;20;24;0
5;61;baja;estable;23;27;0
7;69;baja;estable;10;22;0
6;76;media;estable;23;27;0
5;52;baja;estable;36;21;0
2;33;media;inestable;19;18;0
3;4;media;inestable;34;26;0
1;85;alta;estable;37;24;0
7;72;alta;inestable;4;19;1
2;32;alta;estable;4;21;1
5;26;alta;inestable;19;21;0
5;11;alta;estable;20;25;0
1;17;alta;estable;17;19;0
5;46;baja;inestable;13;28;1
6;41;media;inestable;26;22;1
5;72;media;inestable;0;27;0
4;88;alta;inestable;20;25;0
3;29;baja;inestable;9;23;0
5;36;alta;estable;37;21;0
4;41;baja;estable;4;22;0
2;15;baja;estable;20;19;1
5;26;media;inestable;9;22;0
6;22;media;estable;40;20;0
2;69;baja;estable;0;29;1
7;94;media;inestable;26;20;0
5;77;baja;estable;35;24;0
1;26;baja;inestable;27;20;0
4;16;baja;inestable;15;21;0
4;5;media;estable;20;24;0
1;77;alta;estable;36;20;0
3;82;media;inestable;20;27;1
7;9;alta;inestable;23;27;0
6;44;media;estable;39;19;0
4;55;media;estable;20;27;0
2;30;alta;estable;20;24;0
6;90;baja;estable;34;22;1
4;39;alta;estable;12;18;1
7;2;baja;inestable;15;29;1
3;46;baja;inestable;7;27;1
7;91;media;estable;8;25;0
2;23;media;estable;26;20;0
7;100;media;estable;20;28;0
6;10;media;estable;9;24;0
2;74;media;estable;16;23;0
1;30;alta;inestable;20;27;1
5;46;alta;inestable;39;29;0
1;77;alta;estable;34;23;0
6;42;alta;estable;16;25;0
5;10;media;estable;37;29;0
1;55;alta;inestable;14;21;0
5;5;alta;inestable;20;21;0
4;0;baja;inestable;39;29;0
7;75;media;estable;16;20;0
2;1;alta;estable;27;18;0
5;35;alta;inestable;12;27;1
4;72;alta;inestable;11;20;1
7;79;media;estable;23;18;1
7;40;alta;inestable;39;23;0
3;97;baja;inestable;18;25;0
1;64;media;inestable;38;20;0
3;32;baja;estable;37;29;0
6;65;media;estable;10;21;0
4;92;alta;inestable;16;22;0
3;72;media;inestable;26;24;0
3;7;media;estable;20;29;1
7;91;media;estable;4;28;0
4;2;baja;inestable;40;23;0
7;43;media;inestable;30;19;0
2;10;alta;inestable;18;24;1
5;0;media;estable;25;25;0
6;47;media;inestable;4;29;0
